Position,Company,Salary,Min-Salary,Max-Salary,City,Empirical,Education,Work Nature,Advantage,Detail,Address,Coordinate
C语言工程师（嵌入式）,烽火,10k-18k,10k,18k,武汉,1-3年,本科及以上,全职,"双休,五险一金",职责：1、在嵌入式环境下进行OLT/MSAN/MDU/ONU/HGU等设备通信协议软件开发工作；2、进行需求分析、方案设计、软件详细设计、代码编写、单元测试、集成测试等工作；3、进行软件代码的支持、维护和改进工作；4、完成部门安排的其他相关研发工作。任职要求：1、计算机、通信相关专业，大学本科及以上学历，CET-4及以上2、熟悉C/C++语言程序设计，熟练掌握多线程编程、socket等网络编程技术；熟悉软件开发全流程；3、熟悉VxWorks，Linux或其他嵌入式操作系统；具备嵌入式软件编程且有3年以上相关工作经验者优先；4、熟练掌握网络通信协议IPV4、IPV6、TCP/UDP等基本原理；5、熟悉交换机/路由器协议，例如IGMP/MLD/MSTP/LACP/OSPF/dhcp/PPPoE/SIP/H.248/wifidog/RADIUS等协议者优先；6、积极主动，具有较强的快速学习能力，有一定的抗压能力，责任心强，善于沟通和团队协作。,武汉汉市东湖高新技术开发区高新四路6号,"(114.42479, 30.447371)"
C/C++工程师,微通新成研发部,15k-20k,15k,20k,北京,3-5年,本科及以上,全职,"弹性工作,年终奖,每年调薪,环境好","职位描述：1.负责基于Windows的桌面软件的研发与设计。2.负责windows客户端产品及中间件产品研发，bug修复等工作3.保证客户端软件高效，稳定，安全的运行。任职要求：1.计算机或相关专业本科以上学历2.精通Windows平台的VC++开发和oo设计3.熟悉Windows消息机制,精通SDK和WindowsAPI与COM编程4.熟悉Windows下网络编程,多线程编程5.熟悉MFC，STL，duilib等开发库6.3年windowsC/C++客户端软件开发工作经验7.熟悉加解密算法者优先8.熟悉chromium或cef3开发者优先",北京蓝靛厂东路2号金源时代商务中心B区1707,"(116.288695, 39.96117)"
c开发,武汉聚合时代网络科技有限公司,7k-14k,7k,14k,武汉,不限,本科及以上,全职,五险一金，餐补,1.大学计算机、通信或相关专业本科及以上学历，本科两年以上工作经验，硕士一年以上工作经验；2.精通C/C++编程语言，熟悉XML语法，能够在Linux环境下使用C语言熟练编程；3.有较丰富的网络领域知识，熟悉TCP/IP协议，熟悉FTTH，有家庭网关相关产品开发工作经验优先。,武汉武汉客厅,"(114.27793, 30.67087)"
c/c++工程师,子昊钢琴,10k-15k,10k,15k,广州,1-3年,大专及以上,全职,"五险一金,项目分成,带薪年假,活力团队",岗位职责：1.android和ios动态库c和c++模块开发。熟悉cmake2.负责相关模块性能分析及改进，保证系统稳定性，提升性能。3.配合同事调试相关模块，参与产品设计讨论。4.负责相关技术文档和开发过程相关文档的编写。任职资格：1.本科及以上学历，计算机、相关专业，2年及以上工作经验。2.扎实的C/C++语言基础，精通ffmpeg库，视频处理，直播，视频通话相关开发优先。3.linux下丰富的C/C++编程和调试经验，熟悉各类算法和数据结构，精通musescore和qt库的优先。4.思路清晰，思维敏捷，有快速的学习能力，对技术有强烈兴趣；5.人品正直，有良好的团队合作及抗压能力，有强烈的主人翁意识推进项目进展。,广州汉溪长隆地铁口 保利大都汇,"(113.335014, 22.994862)"
C/C++开发工程师,宇视科技,8k-13k,8k,13k,西安,不限,本科及以上,全职,"五险一金,住房贷款,年终奖金,年休假",岗位职责：1、负责Windows/Linux等平台下基于网络的安防服务器平台开发；2、负责参与产品的需求讨论、设计与开发；3、对软件开发过程中出现的Bug进行定位分析和修改；4、识别、发现开发过程中的不足，制定计划并推进实施加以改进。任职要求：1、电子、通信、计算机相关专业本科以上学历；2、熟悉安防类产品和应用，有相关从业经验者优先；3、能够熟练使用C、C++进行项目开发；4、能够熟练使用数据库；5、有RTSP、ONVIF、SIP相关经验者优先；6、熟悉linux系统操作，有linux下C编程经验，熟悉MAKEFILE以及GDB调试，对linux内核有一定研究；7、能熟练应用shell脚本语言者优先。,西安神州大厦A座,"(108.868299, 34.195044)"
C/C++高级开发工程师,瀛联科技技术部,15k-20k,15k,20k,上海,3-5年,本科及以上,全职,"技术大牛,福利待遇优",岗位职责：负责跨平台系统设计、算法设计与核心编码实现；2.负责软件模块的单元测试与集成测试；3.负责研发技术文档的编写；4.在工作中带领和组织其他同事解决重要技术难题。任职要求：1.计算机、通信、电子等相关专业本科及以上学历；2.三年以上C/C++开发经验；3.具备良好的数据结构、算法的设计以及实现能力，能够高效、高质量完成程序的设计、开发与测试；4.会常用加密算法RSA\ECC\AES等；5.有跨平台开发经验优先考虑。,上海宜山路700号普天信息产业园,"(121.417706, 31.175262)"
C/C++开发工程师,佑久健康产品研发部,7k-12k,7k,12k,上海,应届毕业生,硕士及以上,实习,"快速成长,开放公正,前沿科技,绩效薪酬",岗位职责：1、负责智能体测设备上人体数据分析模块的C/C++程序实现，并编译动态库；2、配合Android开发工程师，进行智能体测设备上的人脸识别身份验证、以及人体姿态与围度的测量；3、与算法开发工程师一起，参与人体成分数据的方案设计与数据分析，完成相关的开发文档编写与项目总结；岗位要求：1、数理逻辑算法计算机等相关专业，认真细致，学习能力强；2、有良好的C语言编程基础，熟悉编码规范；3、有Windows/Linux环境下C/C++开发工作经验，理解JNI调用机制；4、了解opencv、openni等技术之一，有志于图形算法编程；5、优秀的逻辑分析能力，善于团队合作与沟通；6、可以实习，欢迎优秀应届毕业生；工作时间：每周一至周五9:30-18:30，周末双休。转正即可享受法定带薪年假。工作地点：我们的产品技术团队归属于上海佑久健康科技公司旗下，选址于3131产业园区，靠近丰庄茶城美食城，生活就餐都挺方便。我们重视每一位员工，所有的电脑与笔记本都是大屏i7。期待有梦想的你，和我们一起打造一片新天地！请面试的同学带好简历/作品，拔冗到佑久健康科技公司报道，地址：曹安公路1515号（3131曹安商务园）7号楼三楼，近祁连山南路交叉路口。,上海曹安路1515号（3131曹安商务园）7号楼三楼,"(121.370259, 31.25164)"
C语言开发工程师,中银通,12k-20k,12k,20k,上海,3-5年,本科及以上,全职,"五险一金,补充医疗险,住房补贴,多项福利","1、负责对新业务的开展提供可行性分析，在最短的时间内对新业务的性质，包括可行性、安全性、以及对核心系统的影响做出评估，并提供相应的措施方案；2、负责对公司新产品和新应用研发提供支持，包括对核心系统的改造及二次开发，客户提出的新的应用需求等；3、负责拓展技术方案制定及项目实施；4、负责整理系统的改造需求；5、负责相关业务系统的升级改造；6、负责对业务部门提供售前技术支持；7、负责与开发商就相关项目的开发进行沟通和交流；8、负责业务系统的更新工作；9、负责参与公司核心技术研发工作；10、配合完成部门负责人完成交待的其它工作任务。任职条件：1、学历：计算机及相关专业全日制本科及以上；2、3年以上JAVA开发经验,基础扎实；3、熟悉Sping、SpringMVC、Mybatis等框架及实现原理；4、精通SQL语言，熟悉ORACL、DB2等数据库；5、有一定的LINUX基础，能够熟练使用LINUX常用命令；6、有平台实施经验，有大数据量、高并发系统和大型互联网产品构建经验优先；7、具有银行及金融工作经验者优先；8、有团队工作意识，具备良好的表达能力；9、较为熟练的英语阅读能力，一般的英语听、说、写能力。",上海中山东一路23号7楼,"(121.489781, 31.239521)"
liunx C/C++开发工程师,鼎普研发中心,15k-25k,15k,25k,北京,3-5年,本科及以上,全职,福利待遇好,"1、负责公司产品的软件研发；2、使用C/C++语言进行产品开发，参与软件需求开发、设计、修改工作；3、按照操作流程进行软件整体设计、详细设计和编码；4、按照需求进行软件修改，与售后进行沟通，协助售后解决产品中出现的问题。任职要求：1、统招本科及以上学历，计算机等相关专业毕业，2、三年以上LinuxC/C++软件开发经验，精通linux下高级编程（进程、线程、IO、网络、信号、进程间通信、网络）；3、熟练使用GCC,GDB,MAKE等常用工具，掌握并行环境下的相关工具；4、较强的C/C++编程/数据结构/软件工程基础，理解OO思想（面向对象、设计模式、STL使用等技术）；",北京地锦路9号院9号楼,"(116.174445, 40.05857)"
高级C/C++开发工程师,杭州慧域视觉科技有限公司研发部,15k-25k,15k,25k,杭州,3-5年,本科及以上,全职,人工智能、创业团队、技术氛围浓厚,任职要求：1、计算机相关专业，大学本科及以上学历；2、3年及以上C/C++开发经验，熟悉Linux编程和调试；3、具备一定的软件架构设计能力以下条件优先考虑：1、具备安防或嵌入式产品开发经验；2、熟悉golang语言或学习能力强，能快速掌握新技术；3、有理想、有抱负，积极创新，乐于接受挑战,杭州浙江省杭州市滨江区物联网街靠近大华·江虹国际创新园A幢508室,"(120.225976, 30.209665)"
